name,ilce_adi,own_assembly_m2,own_assembly_count,regional_assembly_m2,regional_assembly_count
1.Kadriye Mahallesi,Konak,0.0,0.0,2961.4,66.0
100. Yıl Mahallesi,Bayraklı,0.0,0.0,1677.8,8.0
14 Mayıs Mahallesi,Selçuk,15.8,4.0,4.48,2.0
16 Eylül Mahallesi,Çeşme,9.15,2.0,13721.83,41.0
19 Mayıs Mahallesi,Torbalı,30.69,4.0,130.18,1.0
2. İnönü Mahallesi,Narlıdere,13.38,1.0,0.0,0.0
2.Kadriye Mahallesi,Konak,0.0,0.0,3056.85,83.0
26 Ağustos Mahallesi,Konak,0.0,0.0,3861.29,60.0
29 Ekim Mahallesi,Menemen,910.8,7.0,18900.64,33.0
30 Ağustos Mahallesi,Menemen,0.0,0.0,756093.3,8.0
4 Eylül Mahallesi,Tire,2.37,1.0,5253.54,38.0
75. Yıl Mahallesi,Bayraklı,0.0,0.0,40.15,6.0
75.Yıl Cumhuriyet Mahallesi,Menemen,0.0,0.0,0.0,0.0
8 Eylül Mahallesi,Kemalpaşa,0.0,0.0,19813.66,48.0
85. Yıl Cumhuriyet Mahallesi,Kemalpaşa,371.9,4.0,647.05,5.0
85.Yıl Cumhuriyet Mahallesi,Menemen,0.0,0.0,0.0,0.0
9 Eylül Mahallesi,Menemen,0.0,0.0,757043.02,21.0
Abdi İpekçi Mahallesi,Karabağlar,0.0,0.0,10310.2,77.0
Acarlar Mahallesi,Selçuk,3.21,1.0,17.16,0.0
Adaküre Mahallesi,Beydağ,3.0,1.0,659.0,3.0
Adalet Mahallesi,Bayraklı,0.0,0.0,37.98,4.0
Adatepe Mahallesi,Buca,243.45,4.0,470.91,33.0
Adnan Menderes Mahallesi,Tire,16.71,2.0,0.38,0.0
Adnan Süvari Mahallesi,Karabağlar,9.74,2.0,12847.38,92.0
Ahmet Efendi Mahallesi,Çiğli,3.0,1.0,750077.72,24.0
Ahmet Taner Kışlalı Mahallesi,Çiğli,19.23,3.0,11479.62,70.0
Ahmetbeyler Mahallesi,Bergama,600.0,1.0,1.4,1.0
Ahmetbeyli Mahallesi,Menderes,856.37,2.0,0.0,0.0
Ahmetler Mahallesi,Kiraz,1.37,1.0,1300.0,2.0
Ahmetli Mahallesi,Torbalı,158.18,1.0,0.0,0.0
Ahıhıdır Mahallesi,Menemen,0.0,0.0,475.0,1.0
Akalan Mahallesi,Kemalpaşa,1593.56,5.0,2939.0,4.0
Akarca Mahallesi,Seferihisar,0.0,0.0,34.14,3.0
Akarcalı Mahallesi,Konak,5.5,1.0,2717.76,45.0
Akdeniz Mahallesi,Konak,3.2,2.0,1637.01,22.0
Akkoyunlu Mahallesi,Tire,2.09,1.0,4.75,3.0
Akmescit Mahallesi,Tire,1.92,1.0,794.0,2.0
Akpınar Mahallesi,Kiraz,4.95,1.0,405.0,2.0
Aksoy Mahallesi,Karşıyaka,8282.85,7.0,11851.66,79.0
Aktepe Mahallesi,Beydağ,35.3,2.0,0.0,0.0
Akyurt Mahallesi,Tire,1.72,1.0,0.0,0.0
Akçaköy Mahallesi,Menderes,4.21,1.0,29.68,8.0
Akçaşehir Mahallesi,Tire,1.3,1.0,0.0,0.0
Akçenger Mahallesi,Bergama,450.0,1.0,212.25,3.0
Akın Simav Mahallesi,Konak,0.0,0.0,1046.69,68.0
Akıncı Mahallesi,Konak,1.3,1.0,960.68,35.0
Akıncılar Mahallesi,Ödemiş,384.19,2.0,0.0,1.0
Alacalar Mahallesi,Bergama,2.5,1.0,0.0,0.0
Alacalı Mahallesi,Tire,1.17,1.0,3.52,2.0
Alakeçili Mahallesi,Beydağ,352.0,1.0,2216.56,14.0
Alaniçi Mahallesi,Menemen,0.0,0.0,0.0,0.0
Alanköy Mahallesi,Bayındır,9.55,1.0,1402.8,4.0
Alankıyı Mahallesi,Bayındır,2.0,1.0,0.0,0.0
Alaybey Mahallesi,Karşıyaka,5172.14,3.0,14806.67,71.0
Alaylı Mahallesi,Tire,1.22,1.0,3.58,2.0
Alaçatı Mahallesi,Çeşme,75.49,17.0,0.0,0.0
Alaşarlı Mahallesi,Ödemiş,3.05,1.0,20.35,5.0
Alhatlı Mahallesi,Bergama,350.0,1.0,660.0,2.0
Ali Fuat Cebesoy Mahallesi,Karabağlar,15.52,4.0,13331.35,102.0
Ali Fuat Erden Mahallesi,Karabağlar,0.0,0.0,11940.96,73.0
Ali Reis Mahallesi,Konak,0.0,0.0,2433.46,48.0
Aliağa Organize Sanayi Bölgesi,Aliağa,0.0,0.0,3079.0,2.0
Alibeyli Mahallesi,Bergama,5.0,1.0,0.0,0.0
Alpaslan Mahallesi,Bayraklı,0.0,0.0,20.7,3.0
Alpkent Mahallesi,Torbalı,11.99,3.0,188.96,22.0
Alsancak Mahallesi,Konak,1580.0,2.0,4462.25,16.0
Altay Mahallesi,Konak,0.0,0.0,2531.3,52.0
Altıevler Mahallesi,Narlıdere,4.3,3.0,5702.99,54.0
Altınkum Mahallesi,Çeşme,5.0,2.0,1654.43,7.0
Altınoluk Mahallesi,Kiraz,1.1,1.0,0.0,0.0
Altınordu Mahallesi,Konak,0.0,0.0,1663.74,41.0
Altıntaş Mahallesi,Urla,17.62,3.0,1205.4,23.0
Altıntepe Mahallesi,Menderes,7.92,1.0,0.0,0.0
Altınyunus Mahallesi,Çeşme,502.76,3.0,10235.37,17.0
Anadolu Mahallesi,Konak,1.5,1.0,2664.14,51.0
Anafartalar Mahallesi,Ödemiş,27.76,4.0,1672.95,26.0
Anbarseki Mahallesi,Karaburun,157.0,2.0,1.6,1.0
Ansızca Mahallesi,Kemalpaşa,662.18,2.0,440.0,1.0
Arap Hasan Mahallesi,Karabağlar,1.69,1.0,1078.83,84.0
Ardıç Mahallesi,Çeşme,1363.77,5.0,1125.34,8.0
Arkacılar Mahallesi,Kiraz,1.6,1.0,38.7,7.0
Armağanlar Mahallesi,Bergama,200.0,1.0,1510.0,3.0
Armutlu Mahallesi,Tire,325.0,1.0,2467.0,4.0
Arpadere Mahallesi,Kınık,1.24,1.0,937.0,1.0
Arpaseki Mahallesi,Kınık,31.55,1.0,8.12,2.0
Arslanlar Mahallesi,Torbalı,7.21,1.0,0.0,0.0
Artıcak Mahallesi,Ödemiş,1.85,1.0,0.0,0.0
Arıkbaşı Mahallesi,Bayındır,9.89,2.0,754.57,6.0
Ata Mahallesi,Menderes,15.66,1.0,129.8,19.0
Atakent Mahallesi,Karşıyaka,140.8,6.0,15137.11,96.0
Ataköy Mahallesi,Menderes,4.46,1.0,0.0,0.0
Atalan Mahallesi,Torbalı,1.69,1.0,0.0,0.0
Atamer Mahallesi,Konak,0.0,0.0,2286.66,50.0
Atatürk Mahallesi,Bayındır,75976.34,59.0,0.0,0.0
Atatürk Organize Sanayi Bölgesi,Çiğli,0.0,0.0,1026.3,25.0
Atatürk Plastik Organize Sanayi Bölgesi,Menemen,0.0,0.0,29989.0,4.0
Ataşehir Mahallesi,Çiğli,46.11,9.0,9858.27,46.0
Atilla Mahallesi,Konak,1.28,1.0,2983.78,72.0
Atmaca Mahallesi,Bergama,5.92,1.0,1091.72,18.0
Atçılar Mahallesi,Bergama,250.0,1.0,0.0,0.0
Atıfbey Mahallesi,Gaziemir,50.28,7.0,136.64,23.0
Avunduk Mahallesi,Bergama,150.0,1.0,1.0,1.0
Avunduruk Mahallesi,Kiraz,301.35,2.0,0.0,0.0
Ayaklıkırı Mahallesi,Tire,1.29,1.0,644.0,2.0
Ayaskent Mahallesi,Bergama,5.0,1.0,501.9,2.0
Aydoğdu Mahallesi,Kiraz,964.0,2.0,0.0,1.0
Aydın Mahallesi,Karabağlar,540.0,1.0,703.32,70.0
Aydınlıkevler Mahallesi,Çiğli,35.5,3.0,11581.89,82.0
Ayrancılar Mahallesi,Torbalı,10.12,3.0,2692.28,4.0
Ayvacık Mahallesi,Menemen,0.0,0.0,0.0,0.0
Ayvatlar Mahallesi,Bergama,750.0,1.0,401.75,2.0
Aziziye Mahallesi,Bergama,4.42,2.0,0.0,0.0
Aşağı Mahalle,Kınık,601.2,2.0,3186.72,18.0
Aşağı Yenmiş Mahallesi,Kemalpaşa,3.84,3.0,1898.59,4.0
Aşağıbey Mahallesi,Bergama,1.75,1.0,800.0,1.0
Aşağıcuma Mahallesi,Bergama,4.0,1.0,3.05,2.0
Aşağıkırıklar Mahallesi,Bergama,3.5,1.0,0.0,0.0
Aşağıkızılca Mahallesi,Kemalpaşa,0.0,0.0,4671.47,19.0
Aşağıılgındere Mahallesi,Bergama,2.0,1.0,1000.0,2.0
Aşağışakran Mahallesi,Aliağa,700.0,2.0,558.0,1.0
Aşık Veysel Mahallesi,Karabağlar,8.33,3.0,2166.89,106.0
B.Hayrettin Paşa Mahallesi,Aliağa,0.0,0.0,38472.0,10.0
Bademalan Mahallesi,Kınık,1.24,1.0,0.0,0.0
Bademler Mahallesi,Urla,16.74,1.0,0.0,0.0
Bademli Mahallesi,Ödemiş,900.71,4.0,0.0,0.0
Bahar Mahallesi,Karabağlar,2.5,2.0,2258.22,93.0
Bahariye Mahallesi,Tire,1632.7,4.0,0.0,0.0
Bahriye Üçok Mahallesi,Karabağlar,2827.18,6.0,5578.13,12.0
Bahçearası Mahallesi,Kiraz,1.28,1.0,401.7,2.0
Bahçedere Mahallesi,Aliağa,558.0,1.0,0.0,0.0
Bahçelerarası Mahallesi,Balçova,13087.0,2.0,124101.02,45.0
Bahçeli Mahallesi,Dikili,4.0,1.0,0.0,0.0
Bahçelievler Mahallesi,Torbalı,2316.05,15.0,0.0,0.0
Bakırköy Mahallesi,Beydağ,1.01,1.0,269.01,3.0
Balaban Mahallesi,Kınık,201.26,2.0,201.44,0.0
Balabanlı Mahallesi,Ödemiş,2.7,1.0,3.76,1.0
Balatçık Mahallesi,Çiğli,909.22,7.0,1802.04,21.0
Balcılar Mahallesi,Bayındır,3.02,1.0,850.0,1.0
Ballıkuyu Mahallesi,Konak,0.0,0.0,2680.14,49.0
Balıklıova Mahallesi,Urla,5.48,2.0,2.6,1.0
Barbaros Mahallesi,Urla,62.95,7.0,0.0,0.0
Barutçu Mahallesi,Selçuk,1.0,1.0,0.0,0.0
Barış Mahallesi,Karabağlar,11.42,4.0,2170.39,96.0
Basın Sitesi Mahallesi,Karabağlar,21.86,3.0,1037.86,86.0
Bayraklı Mahallesi,Bayraklı,0.0,0.0,16.0,1.0
Bayramcılar Mahallesi,Bergama,600.0,1.0,0.0,0.0
Bayramlı Mahallesi,Kemalpaşa,739.0,1.0,0.0,0.0
Bayırlı Mahallesi,Ödemiş,2.0,1.0,7.96,3.0
Bağalan Mahallesi,Kınık,5.37,1.0,0.0,0.0
Bağcılar Mahallesi,Menemen,0.0,0.0,0.0,0.0
Bağyurdu 29 Ekim Mahallesi,Kemalpaşa,0.0,0.0,0.0,0.0
Bağyurdu Organize Sanayi Bölgesi,Kemalpaşa,0.0,0.0,0.0,0.0
Başaran Mahallesi,Kiraz,1.0,1.0,2.36,1.0
Başköy Mahallesi,Tire,794.0,2.0,0.0,0.0
Bebekler Mahallesi,Ödemiş,0.0,0.0,0.0,0.0
Bekirler Mahallesi,Bergama,90.0,1.0,256.45,3.0
Belen Mahallesi,Menemen,0.0,0.0,3176.0,1.0
Belenbaşı Mahallesi,Buca,22.96,1.0,0.0,0.0
Belevi Mahallesi,Selçuk,10.99,2.0,0.0,0.0
Bengiler Mahallesi,Seferihisar,9.8,1.0,0.0,0.0
Bengisu Mahallesi,Ödemiş,5.28,2.0,170.44,26.0
Bergama Organize Sanayi Bölgesi,Bergama,0.0,0.0,386.72,5.0
Beyazevler Mahallesi,Gaziemir,0.0,0.0,179.26,33.0
Beyazıtlar Mahallesi,Ödemiş,6.78,1.0,13.1,4.0
Beyköy Mahallesi,Beydağ,3.0,1.0,2565.26,13.0
Beyler Mahallesi,Seferihisar,1.7,1.0,0.0,0.0
Beşpınar Mahallesi,Kemalpaşa,565.0,1.0,0.0,0.0
Beşyol Mahallesi,Bornova,5.7,1.0,5.0,1.0
Binbaşı Reşatbey Mahallesi,Gaziemir,0.0,0.0,747.77,44.0
Birgi Mahallesi,Ödemiş,11.24,4.0,512.76,0.0
Birlik Mahallesi,Bornova,6.2,1.0,1229.97,26.0
Bostanlı Mahallesi,Karşıyaka,102.95,14.0,20176.76,83.0
Boyalık Mahallesi,Çeşme,5.88,3.0,12668.72,34.0
Boynuyoğun Mahallesi,Tire,1.59,1.0,940.88,4.0
Bozalan Mahallesi,Menemen,3426.0,1.0,0.0,0.0
Bozcayaka Mahallesi,Ödemiş,3.46,1.0,12.67,3.0
